Filename,position,segment,syllable,F1 (Hz),F2 (Hz),F3 (Hz),performer
18,off,ɑ,2,1083.783752,1638.710257,2790.375045,MH
18,off,ɑ,2,1077.617347,1574.787089,2480.804294,MH
18,off,e,2,784.8825752,1767.08309,2226.329856,MH
18,off,i,2,398.5417315,2220.520648,2428.682115,MH
18,off,æːl,2,1011.032933,1704.737113,1787.209663,MH
18,off,ɑ,2,1046.247614,1272.227823,2568.868478,MH
18,off,ɑ,2,1050.085848,1632.181168,2958.490013,MH
18,off,ɑ,2,1122.541564,1403.191115,2982.289006,MH
18,off,u,2,646.7407898,1339.141128,2598.172867,MH
18,off,u,2,392.8760208,942.4158745,2508.461787,MH
18,off,u,2,620.0607843,949.6594173,2121.865589,MH
18,off,ɑ,2,1026.166289,1596.066767,2729.138254,MH
18,off,u,2,436.9400749,1044.169032,2687.344688,MH
18,off,u,2,488.9699452,875.5697468,2496.176252,MH
18,off,ɑ,2,999.0294449,1748.275027,2603.982674,MH
18,off,a,2,1119.879883,1646.046842,1978.134468,MH
18,off,ʊ,2,610.3205898,1205.921027,2522.116732,MH
18,off,a,2,952.9026532,1469.257937,2337.420329,MH
18,off,e,2,801.269538,2287.286917,2923.89087,MH
18,off,e,2,852.0651274,1621.250757,2265.092173,MH
18,off,i,2,662.7365687,2225.82472,2471.68485,MH
18,off,al,2,965.0138178,1574.546575,2490.702684,MH
18,off,i,2,462.4432375,2053.024635,2619.435123,MH
18,off,e,2,757.65488,1887.457211,2446.532288,MH
18,off,i,2,404.5554278,2075.672325,2523.711843,MH
18,off,e,2,782.2452045,1438.733493,2106.535355,MH
18,off,i,2,404.5023422,1639.539904,2610.126777,MH
18,off,a,2,1122.070768,1837.094802,3071.10294,MH
18,off,e,2,727.1434612,1931.379676,2275.434199,MH
18,off,ɑ,2,1056.679999,1473.998751,2716.405476,MH
18,off,ɛ,2,862.235124,1566.967189,2306.850074,MH
18,off,a,2,965.9182066,1772.528287,2792.570511,MH
18,off,ɛ,2,761.7561561,1582.636186,2601.26997,MH
18,off,al,2,864.6543804,1396.69533,2543.168054,MH
65,off,i,2,527.1176444,1222.392016,2591.357881,LK
65,off,e,2,649.9086805,1008.149144,2565.279116,LK
65,off,ʊ,2,724.8605816,1154.922577,2424.680657,LK
65,off,u,2,579.2157042,1143.23064,2496.045306,LK
65,off,e,2,760.5280556,2412.365161,2800.368143,LK
65,off,i,2,450.4082445,2002.605853,2510.980136,LK
65,off,i,2,605.0463381,1169.405947,2509.764076,LK
65,off,e,2,785.9486347,1298.17694,2399.033936,LK
65,off,ɛ,2,753.2008361,1454.578591,2157.359088,LK
65,off,i,2,559.4751378,1664.49745,2750.250607,LK
65,off,i,2,481.262413,1707.869716,2568.636289,LK
65,off,ɛ,2,744.2304557,1244.258025,2237.174259,LK
65,off,ɑ,2,777.7792046,1356.183562,1942.791589,LK
65,off,ɪ,2,429.3771198,2025.806464,2569.321949,LK
65,off,ɑ,2,833.6165882,1424.285919,2457.795992,LK
65,off,e,2,856.9883055,1014.529148,2389.316021,LK
65,off,ɪ,2,419.8220746,1876.304241,2609.861658,LK
65,off,a,2,927.6761367,1433.044672,1938.135467,LK
65,off,a,2,860.8713843,1334.395125,1808.525684,LK
65,off,ɪ,2,597.1427416,1749.491933,2566.079856,LK
65,off,a,2,829.5942223,1410.405953,1925.961147,LK
65,off,a,2,909.9714037,1544.395298,2299.861771,LK
65,off,i,2,538.4432875,1524.749089,2557.815832,LK
65,off,ɑ,2,985.7320512,1481.119245,1763.301928,LK
65,off,a,2,837.8789294,1524.212868,2026.82251,LK
65,off,e,2,870.0293693,1556.619062,2136.434461,LK
65,off,e,2,619.693925,1522.786918,2330.141903,LK
65,off,a,2,942.8801679,1481.061657,2538.332597,LK
65,off,ɑ,2,990.1955167,1396.385787,2279.160376,LK
65,off,e,2,576.4521198,1528.730557,2442.91678,LK
65,off,u,2,711.2004932,1079.184368,1912.271763,LK
65,off,e,2,573.4102104,1627.502812,2348.0639,LK
65,off,a,2,904.4340132,1429.202235,2909.239434,LK
65,off,ɑ,2,1024.594837,1243.528833,2071.444782,LK
65,off,e,2,724.2843986,1671.380299,2195.431564,LK
65,off,ɑ,2,819.5368173,1543.077763,1719.257575,LK
41,off,i,2,588.8650221,1693.646036,2589.040464,LK
41,off,i,2,493.5651716,1219.195646,2675.510985,LK
41,off,a,2,830.768242,1462.440465,2059.435263,LK
41,off,u,2,585.8871797,980.2535752,2610.807803,LK
41,off,a,2,910.831472,1522.841041,2737.124508,LK
41,off,a,2,826.9930257,1352.445324,1552.853706,LK
41,off,ɛ,2,565.93357,2185.519854,2990.276471,LK
41,off,ɛ,2,669.7375951,948.7050456,2290.601443,LK
